id;creation_date;title;description;watched;notification_type;keycloak_user_id_id
1;2020-03-27T07:09:18;Pants;CSS Jewelery;true;NOTICE;1
2;2020-03-26T23:08:32;CSS Granite;transmitting next-generation viral;false;HOMEWORK;1
3;2020-03-27T01:22:29;Credit Card Account Yen District;synthesizing;true;NOTICE;1
4;2020-03-26T17:50:47;solutions;asymmetric Gloves mindshare;true;NOTICE;1
5;2020-03-27T01:14:11;Avon Terrace;interface;true;HOMEWORK;1
6;2020-03-27T07:02:31;client-server users Washington;3rd generation 1080p Berkshire;true;NOTICE;1
7;2020-03-26T17:28:27;Games;Associate;false;HOMEWORK;1
8;2020-03-27T04:01:40;back up bluetooth;Pataca Checking Account;false;ATTENDANCE;1
9;2020-03-27T07:14:48;payment;Chief Money Market Account;true;HOMEWORK;1
10;2020-03-27T00:24:11;cross-platform circuit Kwanza;Granite;true;ATTENDANCE;1
